CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Street,Supervisor District,Neighborhood,Police District,Latitude,Longitude,Point,Source,Media URL
10576656,03/08/2019 05:46:00 AM,03/08/2019 06:57:43 AM,03/08/2019 06:57:43 AM,Closed,This issue has already been reported through an earlier request.,Parking Enforcement Dispatch Queue,Parking Enforcement,Parking_on_Sidewalk,White - Explorer - 8HAH198,"101 BUENA VISTA AVE EAST, SAN FRANCISCO, CA, 94117",BUENA VISTA AVE EAST,8,Buena Vista,PARK,37.769854472215,-122.43893361698,"(37.76985447, -122.43893362)",Mobile/Open311,http://mobile311.sfgov.org/reports/10576656/photos
10576658,03/08/2019 05:47:00 AM,03/20/2019 01:16:00 PM,03/20/2019 01:16:00 PM,Closed,????NO INFORMATION?????,SFMTA - Parking Enforcement - G,General Request - MTA,request_for_service,parking_enforcement - request_for_service,Not associated with a specific address,,,,,0,0,"(0.0, 0.0)",Web,
10576660,03/08/2019 05:50:00 AM,03/08/2019 06:00:00 AM,03/08/2019 06:00:00 AM,Closed,,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - Car4door,Brown - Honda  - Accord - 6NSY348,"92 DIANA ST, SAN FRANCISCO, CA, 94124",DIANA ST,10,Silver Terrace,BAYVIEW,37.730041503906,-122.396492004395,"(37.7300415, -122.396492)",Phone,
10576661,03/08/2019 05:51:00 AM,03/11/2019 06:52:00 AM,03/11/2019 06:52:00 AM,Closed,03/08/2019    @1040  HRS # 120,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - DeliveryTruck,MAROON - NISSAN - QUEST - 4AQV294,"620 LONDON ST, SAN FRANCISCO, CA, 94112",LONDON ST,11,Excelsior,INGLESIDE,37.719463348389,-122.43822479248,"(37.71946335, -122.43822479)",Phone,
10576662,03/08/2019 05:53:35 AM,03/08/2019 08:49:39 AM,03/08/2019 08:49:39 AM,Closed,"Encampment Removed
Close Note: subjects moved on their own accord",HSOC Queue,Encampments,Encampment Reports,Encampment Cleanup,"48 THE EMBARCADERO, SAN FRANCISCO, CA, 94105",THE EMBARCADERO,6,Rincon Hill,SOUTHERN,37.789437,-122.387926,"(37.789437, -122.387926)",Mobile/Open311,http://mobile311.sfgov.org/reports/10576662/photos
10576665,03/08/2019 05:54:00 AM,03/08/2019 07:08:00 AM,03/08/2019 07:08:00 AM,Closed,REPRIEVE HAS BEEN GRANTED,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - Car4door,Black - BMW - 335 - 6KHX379,"80 DIANA ST, SAN FRANCISCO, CA, 94124",DIANA ST,10,Silver Terrace,BAYVIEW,37.730182647705,-122.396461486816,"(37.73018265, -122.39646149)",Phone,
10576664,03/08/2019 05:54:10 AM,03/08/2019 09:45:00 AM,03/08/2019 09:45:00 AM,Closed,,311 Service Request Queue,General Request - 311CUSTOMERSERVICECENTER,other,311CustomerServiceCenter - other,Not associated with a specific address,,,,,0,0,"(0.0, 0.0)",Web,
10576667,03/08/2019 05:55:00 AM,03/08/2019 04:13:51 PM,03/08/2019 04:13:51 PM,Closed,Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,Intersection of STEVENSON ST and DUBOCE AVE,STEVENSON ST,9,South of Market,MISSION,37.769916534424,-122.421585083008,"(37.76991653, -122.42158508)",Phone,
10576668,03/08/2019 05:57:38 AM,03/08/2019 05:57:40 AM,03/08/2019 05:57:40 AM,Closed,Any request with criminal activity  cannot be handled by 311 and must be called to police at 415-553-0123 as more details are required to be able to dispatch police accordingly,HSOC Queue,Encampments,Encampment Reports,Encampment Cleanup,Intersection of FRANKLIN ST and REDWOOD ST,FRANKLIN ST,5,Civic Center,NORTHERN,37.78037,-122.4220186,"(37.78037, -122.4220186)",Web,http://mobile311.sfgov.org/reports/10576668/photos
10576676,03/08/2019 06:11:00 AM,03/08/2019 07:39:00 AM,03/08/2019 07:39:00 AM,Closed,Need to contact SFPD.,311 Supervisor Queue,Noise Report,Noise Issue,Other,"90 MCCOPPIN ST, SAN FRANCISCO, CA, 94103",MCCOPPIN ST,6,South of Market,SOUTHERN,37.771786760795,-122.422244290866,"(37.77178676, -122.42224429)",Mobile/Open311,
10576675,03/08/2019 06:11:00 AM,03/11/2019 06:59:00 AM,03/11/2019 06:59:00 AM,Closed,03/08/2019    @0900  HRTS # 211,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicles,DPT Abandoned Vehicles Low,"51 LOBOS ST, SAN FRANCISCO, CA, 94112",LOBOS ST,11,Oceanview,TARAVAL,37.714686,-122.454104,"(37.714686, -122.454104)",Mobile/Open311,http://mobile311.sfgov.org/reports/10576675/photos
10576680,03/08/2019 06:13:00 AM,03/08/2019 01:44:00 PM,03/08/2019 01:44:00 PM,Closed,,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of FELL ST and GOUGH ST,FELL ST,5,Hayes Valley,NORTHERN,37.775951385498,-122.422790527344,"(37.77595139, -122.42279053)",Phone,
10576683,03/08/2019 06:19:00 AM,03/08/2019 10:59:00 AM,03/08/2019 10:59:00 AM,Closed,,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"115 CARL ST, SAN FRANCISCO, CA, 94117",CARL ST,5,Cole Valley,PARK,37.7655843,-122.4503571,"(37.7655843, -122.4503571)",Web,http://mobile311.sfgov.org/reports/10576683/photos
10576689,03/08/2019 06:27:13 AM,03/08/2019 08:01:00 AM,03/08/2019 08:01:00 AM,Closed,,DPW Ops Queue,Street and Sidewalk Cleaning,Medical Waste,Needles,Intersection of SUTTER ST and SANSOME ST,SUTTER ST,3,Financial District,CENTRAL,37.790215803532,-122.400586744392,"(37.7902158, -122.40058674)",Mobile/Open311,http://mobile311.sfgov.org/reports/10576689/photos
10576692,03/08/2019 06:29:11 AM,03/08/2019 08:01:00 AM,03/08/2019 08:01:00 AM,Closed,,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of SUTTER ST and SANSOME ST,SUTTER ST,3,Financial District,CENTRAL,37.790222988818,-122.400577484338,"(37.79022299, -122.40057748)",Mobile/Open311,http://mobile311.sfgov.org/reports/10576692/photos
10576697,03/08/2019 06:31:00 AM,03/08/2019 05:56:47 PM,03/08/2019 05:56:47 PM,Closed,"Agencies responded to request and no encampment in area. Area verified clean.
Close Note:",Duplicate Case Hold Queue,Encampments,Encampment Reports,Encampment Cleanup,"202 HARTFORD ST, SAN FRANCISCO, CA, 94114",HARTFORD ST,8,Eureka Valley,MISSION,37.759210929197,-122.433783030365,"(37.75921093, -122.43378303)",Mobile/Open311,
10576694,03/08/2019 06:31:00 AM,03/08/2019 07:53:43 AM,03/08/2019 07:53:43 AM,Closed,Officer responded to request under CAD # 190670516.  Citation was issued.,Parking Enforcement Dispatch Queue,Parking Enforcement,Blocking_Driveway_Cite_Only,Parking Enforcement,"43 MONTANA ST, SAN FRANCISCO, CA, 94112",MONTANA ST,11,Oceanview,TARAVAL,37.7164973,-122.4548292,"(37.7164973, -122.4548292)",Web,http://mobile311.sfgov.org/reports/10576694/photos
10576695,03/08/2019 06:31:44 AM,03/10/2019 10:32:41 AM,03/10/2019 10:32:41 AM,Closed,"Agencies responded to request and no encampment in area. Area verified clean.
Close Note: GOA",HSOC Queue,Encampments,Encampment Reports,Encampment Cleanup,"2218 15TH ST, SAN FRANCISCO, CA, 94114",15TH ST,8,Duboce Triangle,PARK,37.765967706254,-122.4337470812,"(37.76596771, -122.43374708)",Mobile/Open311,http://mobile311.sfgov.org/reports/10576695/photos
10576696,03/08/2019 06:31:50 AM,03/08/2019 08:01:00 AM,03/08/2019 08:01:00 AM,Closed,,DPW Ops Queue,Street and Sidewalk Cleaning,Human or Animal Waste,Human or Animal Waste,Intersection of SUTTER ST and SANSOME ST,SUTTER ST,3,Financial District,CENTRAL,37.790250470445,-122.400633803378,"(37.79025047, -122.4006338)",Mobile/Open311,http://mobile311.sfgov.org/reports/10576696/photos
10576699,03/08/2019 06:32:49 AM,03/08/2019 06:13:28 PM,03/08/2019 06:13:28 PM,Closed,"Agencies responded to request and no encampment in area. Area verified clean.
Close Note:",HSOC Queue,Encampments,Encampment Reports,Encampment Cleanup,Intersection of 19TH ST and SANCHEZ ST,19TH ST,8,Dolores Heights,MISSION,37.759511947767,-122.43041325569,"(37.75951195, -122.43041326)",Mobile/Open311,
10576700,03/08/2019 06:33:29 AM,03/08/2019 06:54:59 AM,03/08/2019 06:54:59 AM,Closed,PRIVATE PROPERTY                                  CLEARLY NEXT TO TOTERS FOR SERVICE.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,"200 KEARNY ST, SAN FRANCISCO, CA, 94108",KEARNY ST,3,Downtown / Union Square,CENTRAL,37.790019284038,-122.403738442922,"(37.79001928, -122.40373844)",Mobile/Open311,http://mobile311.sfgov.org/reports/10576700/photos
10576703,03/08/2019 06:35:00 AM,03/08/2019 08:29:00 AM,03/08/2019 08:29:00 AM,Closed,,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of BAY SHORE BLVD ON RAMP and POTRERO AVE,BAY SHORE BLVD ON RAMP,9,Mission,MISSION,37.749855041504,-122.405624389648,"(37.74985504, -122.40562439)",Phone,
10576707,03/08/2019 06:39:08 AM,03/08/2019 06:45:02 AM,03/08/2019 06:45:02 AM,Closed,"Maximo Service Request has been resolved 
     Add'l Notes:
    reset m/h cover make safe with barricade and cones rim and cover rise to grade of street crate follo",DPW BSSR Queue,Street Defects,Pavement_Defect,Pavement_Defect,Intersection of 14TH AVE and LAKE ST,14TH AVE,2,Lake Street,RICHMOND,37.786289215088,-122.473251342773,"(37.78628922, -122.47325134)",Integrated Agency,
10576709,03/08/2019 06:40:00 AM,03/08/2019 07:47:00 AM,03/08/2019 07:47:00 AM,Closed,,DPW Ops Queue,Street and Sidewalk Cleaning,Human or Animal Waste,Human or Animal Waste,"3344 CESAR CHAVEZ ST, SAN FRANCISCO, CA, 94110",CESAR CHAVEZ ST,9,Mission,MISSION,37.74831009683,-122.416944840761,"(37.7483101, -122.41694484)",Mobile/Open311,http://mobile311.sfgov.org/reports/10576709/photos
10576708,03/08/2019 06:40:40 AM,03/08/2019 03:45:27 PM,03/08/2019 03:45:27 PM,Closed,WASTE NOT FOUND                                   .,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,Intersection of ALVARADO ST and CASTRO ST,ALVARADO ST,8,Noe Valley,MISSION,37.753672486644,-122.434318597974,"(37.75367249, -122.4343186)",Mobile/Open311,
10576710,03/08/2019 06:41:00 AM,03/08/2019 07:18:57 AM,03/08/2019 07:18:57 AM,Closed,Officer responded to request under CAD # 190670550. Issue was addressed.,Parking Enforcement Dispatch Queue,Parking Enforcement,Blocking_Driveway_Cite_Tow,GRAY - KIA SORENTO - 6YNB010,"1461 INNES AVE, SAN FRANCISCO, CA, 94124",INNES AVE,10,Bayview,BAYVIEW,37.73782812,-122.38632383,"(37.73782812, -122.38632383)",Phone,
10576712,03/08/2019 06:43:00 AM,03/20/2019 01:01:00 PM,03/20/2019 01:01:00 PM,Closed,COMPLAINT GIVEN TO PCO H94 PCO PATROLLING THE BEAT.,SFMTA - Parking Enforcement - G,General Request - PUBLIC WORKS,request_for_service,bsm - request_for_service,"682 LONDON ST, SAN FRANCISCO, CA, 94112",LONDON ST,11,Excelsior,INGLESIDE,37.718361666667,-122.438658333333,"(37.71836167, -122.43865833)",Mobile/Open311,http://mobile311.sfgov.org/reports/10576712/photos
10576711,03/08/2019 06:43:00 AM,03/08/2019 07:13:49 AM,03/08/2019 07:13:49 AM,Closed,This issue has already been reported through an earlier request.,Parking Enforcement Dispatch Queue,Parking Enforcement,Other_Illegal_Parking,Yellow - Van - 35423k2,"300 ARLETA AVE, SAN FRANCISCO, CA, 94134",ARLETA AVE,10,Visitacion Valley,INGLESIDE,37.7146659,-122.408964,"(37.7146659, -122.408964)",Web,
10576714,03/08/2019 06:45:00 AM,03/08/2019 12:53:56 PM,03/08/2019 12:53:56 PM,Closed,"Encampment Removed
Close Note:",Duplicate Case Hold Queue,Encampments,Encampment Reports,Encampment Cleanup,"603 7TH ST, SAN FRANCISCO, CA, 94103",7TH ST,6,South of Market,SOUTHERN,37.772915036377,-122.402918120841,"(37.77291504, -122.40291812)",Mobile/Open311,http://mobile311.sfgov.org/reports/10576714/photos
10576717,03/08/2019 06:47:00 AM,,03/08/2019 08:20:02 AM,Open,in progress,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"233 ELLIS ST, SAN FRANCISCO, CA, 94102",ELLIS ST,6,Tenderloin,TENDERLOIN,37.785053253174,-122.410301208496,"(37.78505325, -122.41030121)",Phone,
10576719,03/08/2019 06:47:52 AM,03/08/2019 01:55:49 PM,03/08/2019 01:55:49 PM,Closed,WASTE NOT FOUND                                   .,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,"190 OFARRELL ST, SAN FRANCISCO, CA, 94102",OFARRELL ST,3,Downtown / Union Square,CENTRAL,37.786502991838,-122.407870972643,"(37.78650299, -122.40787097)",Mobile/Open311,http://mobile311.sfgov.org/reports/10576719/photos
10576723,03/08/2019 06:49:00 AM,03/19/2019 10:43:00 AM,03/19/2019 10:43:00 AM,Closed,under construction,DPT Paint Shop Queue,General Request - MTA,request_for_service,paint_shop - request_for_service,Intersection of 4TH ST and HOWARD ST,4TH ST,6,South of Market,SOUTHERN,37.783260345459,-122.402709960938,"(37.78326035, -122.40270996)",Phone,
10576722,03/08/2019 06:49:09 AM,03/08/2019 09:14:00 AM,03/08/2019 09:14:00 AM,Closed,,DPW Ops Queue,Street and Sidewalk Cleaning,Medical Waste,Needles,"1510 MARKET ST, SAN FRANCISCO, CA, 94102",MARKET ST,5,Civic Center,SOUTHERN,37.775097717563,-122.419422664903,"(37.77509772, -122.41942266)",Mobile/Open311,
10576725,03/08/2019 06:50:00 AM,03/08/2019 09:35:00 AM,03/08/2019 09:35:00 AM,Closed,,DPW Ops Queue,Street and Sidewalk Cleaning,Medical Waste,Needles,"711 VAN NESS AVE, SAN FRANCISCO, CA, 94102",VAN NESS AVE,5,Cathedral Hill,NORTHERN,37.781979758333,-122.421229528444,"(37.78197976, -122.42122953)",Mobile/Open311,
10576726,03/08/2019 06:50:00 AM,03/08/2019 07:49:00 AM,03/08/2019 07:49:00 AM,Closed,,DPW Ops Queue,Street and Sidewalk Cleaning,Human or Animal Waste,Human or Animal Waste,"780 TURK ST, SAN FRANCISCO, CA, 94102",TURK ST,5,Cathedral Hill,NORTHERN,37.781926262654,-122.421700940294,"(37.78192626, -122.42170094)",Mobile/Open311,
10576724,03/08/2019 06:50:00 AM,03/08/2019 08:19:00 AM,03/08/2019 08:19:00 AM,Closed,,DPW Ops Queue,Street and Sidewalk Cleaning,Hazardous Materials,Glass,"1699 VALENCIA ST, SAN FRANCISCO, CA, 94110",VALENCIA ST,9,Bernal Heights,INGLESIDE,37.746147155762,-122.419906616211,"(37.74614716, -122.41990662)",Phone,
10576727,03/08/2019 06:51:00 AM,03/08/2019 10:15:08 PM,03/08/2019 10:15:08 PM,Closed,Request is a duplicate and has been previously reported as 10572247,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"780 TURK ST, SAN FRANCISCO, CA, 94102",TURK ST,5,Cathedral Hill,NORTHERN,37.781884627353,-122.421695418854,"(37.78188463, -122.42169542)",Mobile/Open311,
